City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Arraial Do Cabo,BR,2021-09-07 19:31:55,-22.9661,-42.0278,73.36,78,75,14.97
125,Grand-Santi,GF,2021-09-07 19:31:55,4.25,-54.3833,86.92,60,83,4.07
126,Victoria,HK,2021-09-07 19:31:55,22.2855,114.1577,85.32,84,14,1.99
127,Montrose,US,2021-09-07 19:31:43,38.4166,-108.2673,77.34,9,0,8.5
128,Kikwit,CD,2021-09-07 19:31:56,-5.041,18.8162,83.25,48,95,4.43
129,Luderitz,NA,2021-09-07 19:29:01,-26.6481,15.1594,62.29,45,0,14.16
130,Skelleftea,SE,2021-09-07 19:31:56,64.7507,20.9528,60.01,62,20,1.99
131,Port Macquarie,AU,2021-09-07 19:31:31,-31.4333,152.9167,46.36,70,96,5.93
132,Port Hardy,CA,2021-09-07 19:30:18,50.6996,-127.4199,62.6,82,75,3.44
133,Brae,GB,2021-09-07 19:31:57,60.3964,-1.353,57.11,95,100,16.13
134,College,US,2021-09-07 19:28:40,64.8569,-147.8028,50.58,78,75,4.61
135,Touros,BR,2021-09-07 19:31:57,-5.1989,-35.4608,85.1,68,35,15.32
136,Knyaze-Volkonskoye,RU,2021-09-07 19:31:58,48.4642,135.4567,61.14,79,100,3.56
137,Saint George,US,2021-09-07 19:31:58,37.1041,-113.5841,104.47,16,1,1.99
138,Sao Joao Da Barra,BR,2021-09-07 19:31:58,-21.6403,-41.0511,75.29,76,16,12.59
139,Mago,RU,2021-09-07 19:31:59,53.2514,140.1822,52.11,92,100,1.66
140,Cambuci,BR,2021-09-07 19:31:59,-21.5753,-41.9111,74.64,62,30,9.44
141,Hofn,IS,2021-09-07 19:31:59,64.2539,-15.2082,49.75,86,83,13.4
142,Langsa,ID,2021-09-07 19:32:00,4.4683,97.9683,74.48,92,97,2.51
143,Mackay,AU,2021-09-07 19:32:00,-21.15,149.2,59.04,88,40,8.05
144,Saldanha,ZA,2021-09-07 19:32:00,-33.0117,17.9442,48.25,71,2,12.21
145,Camacupa,AO,2021-09-07 19:32:01,-12.0167,17.4833,80.38,24,98,1.57
146,Guozhen,CN,2021-09-07 19:32:01,34.3659,107.359,65.3,77,0,2.48
147,Portland,US,2021-09-07 19:30:40,45.5234,-122.6762,86.5,46,75,1.99
148,Nioro,GM,2021-09-07 19:32:01,13.35,-15.75,75.9,89,100,4.21
149,Ponta Delgada,PT,2021-09-07 19:32:02,37.7333,-25.6667,72.32,73,75,8.05
150,Nsunga,TZ,2021-09-07 19:32:02,-1.1439,31.3947,69.13,73,70,2.42
151,Rawson,AR,2021-09-07 19:32:02,-43.3002,-65.1023,53.42,78,84,10.69
152,Souillac,MU,2021-09-07 19:32:03,-20.5167,57.5167,70.36,73,40,14.97
153,Tura,IN,2021-09-07 19:28:55,25.5198,90.2201,72.77,96,30,3.51
154,Sao Filipe,CV,2021-09-07 19:32:03,14.8961,-24.4956,79.02,86,99,7.16
155,Mahebourg,MU,2021-09-07 19:32:03,-20.4081,57.7,70.25,73,40,14.97
156,Morgan City,US,2021-09-07 19:32:04,29.6994,-91.2068,90.0,70,90,4.61
157,Aklavik,CA,2021-09-07 19:32:04,68.2191,-135.0107,54.43,55,46,2.46
158,Port Moresby,PG,2021-09-07 19:32:04,-9.4431,147.1797,76.42,78,75,17.27
159,Codrington,AU,2021-09-07 19:32:05,-38.2667,141.9667,41.86,96,16,9.57
160,Port Elizabeth,ZA,2021-09-07 19:32:05,-33.918,25.5701,59.29,67,40,11.5
161,Kahului,US,2021-09-07 19:30:20,20.8947,-156.47,84.22,58,20,18.41
162,Longyearbyen,SJ,2021-09-07 19:32:05,78.2186,15.6401,37.24,52,0,3.44
163,Qasigiannguit,GL,2021-09-07 19:32:05,68.8193,-51.1922,35.85,78,100,5.5
164,Tasiilaq,GL,2021-09-07 19:32:06,65.6145,-37.6368,42.96,68,1,6.31
165,Atikokan,CA,2021-09-07 19:32:06,48.7555,-91.6216,57.24,83,100,13.87
166,Tongzi,CN,2021-09-07 19:32:06,28.7829,105.0877,69.4,86,72,0.6
167,Guerrero Negro,MX,2021-09-07 19:32:07,27.9769,-114.0611,80.73,58,38,16.04
168,Parsons,US,2021-09-07 19:32:07,37.3403,-95.2611,94.98,35,11,14.92
169,Kuruman,ZA,2021-09-07 19:32:07,-27.4524,23.4325,54.0,26,0,12.33
170,Chuncheng,CN,2021-09-07 19:32:08,22.1731,111.7886,76.26,93,49,1.41
171,Mataura,NZ,2021-09-07 19:32:08,-46.1927,168.8643,41.49,92,99,11.34
172,Prieska,ZA,2021-09-07 19:32:09,-29.6641,22.7474,52.52,41,0,10.78
173,Kavieng,PG,2021-09-07 19:30:53,-2.5744,150.7967,80.04,77,73,4.92
174,Broken Hill,AU,2021-09-07 19:32:09,-31.95,141.4333,46.11,76,0,6.91
175,Broome,US,2021-09-07 19:32:09,42.2506,-75.833,78.19,59,0,1.99
176,Paamiut,GL,2021-09-07 19:32:10,61.994,-49.6678,45.32,66,100,7.87
177,Batticaloa,LK,2021-09-07 19:32:10,7.7102,81.6924,80.19,71,63,6.06
178,West Bay,KY,2021-09-07 19:32:10,19.3667,-81.4167,91.47,75,20,1.99
179,Fortuna,US,2021-09-07 19:32:11,40.5982,-124.1573,93.18,45,64,7.34
180,Cockburn Town,TC,2021-09-07 19:32:11,21.4612,-71.1419,83.03,71,3,11.74
181,Pisco,PE,2021-09-07 19:32:11,-13.7,-76.2167,71.65,60,90,31.07
182,Beloha,MG,2021-09-07 19:32:11,-25.1667,45.05,67.55,70,10,4.12
183,Udomlya,RU,2021-09-07 19:32:12,57.8794,34.9925,49.8,96,100,7.38
184,Port Shepstone,ZA,2021-09-07 19:32:12,-30.7414,30.455,58.6,79,100,4.41
185,Kaitangata,NZ,2021-09-07 19:32:12,-46.2817,169.8464,38.77,81,89,15.19
186,Namibe,AO,2021-09-07 19:30:05,-15.1961,12.1522,66.6,86,97,6.15
187,Tigre,AR,2021-09-07 19:32:13,-34.426,-58.5796,60.3,93,90,13.8
188,Marawi,PH,2021-09-07 19:32:13,7.9986,124.2928,65.64,94,100,4.36
189,Oktyabrskiy,RU,2021-09-07 19:32:13,54.4815,53.471,40.59,84,13,5.79
190,Kamaishi,JP,2021-09-07 19:32:13,39.2667,141.8833,62.13,80,100,7.29
191,Baruun-Urt,MN,2021-09-07 19:32:14,46.6806,113.2792,41.74,84,100,10.18
192,Arlit,NE,2021-09-07 19:32:14,18.7369,7.3853,96.33,22,63,13.31
193,Dali,CN,2021-09-07 19:32:14,25.7,100.1833,60.04,91,48,2.21
194,Soyo,AO,2021-09-07 19:32:15,-6.1349,12.3689,74.28,87,54,10.31
195,Dourbali,TD,2021-09-07 19:32:15,11.8091,15.8632,78.93,74,81,4.14
196,Khorramabad,IR,2021-09-07 19:32:15,33.4878,48.3558,78.6,13,0,3.67
197,Yuanping,CN,2021-09-07 19:32:15,38.7153,112.7575,57.27,64,0,0.67
198,Adrar,MR,2021-09-07 19:32:16,20.5022,-10.0711,97.79,16,7,8.75
199,Nouakchott,MR,2021-09-07 19:32:16,18.0858,-15.9785,84.13,76,53,11.74
200,Luangwa,ZM,2021-09-07 19:32:16,-15.6167,30.4167,74.95,38,0,2.95
201,Mansa,IN,2021-09-07 19:32:17,29.9833,75.3833,80.22,81,92,7.54
202,Betsiamites,CA,2021-09-07 19:32:17,48.9413,-68.646,70.2,76,64,11.14
203,La Macarena,CO,2021-09-07 19:32:17,2.1837,-73.7849,76.19,95,87,3.91
204,Hami,CN,2021-09-07 19:32:18,42.8,93.45,76.01,20,0,9.57
205,Troitsko-Pechorsk,RU,2021-09-07 19:32:18,62.7084,56.1964,40.21,98,100,6.02
206,Saint-Georges,GD,2021-09-07 19:27:21,12.0564,-61.7485,87.48,74,20,17.27
207,Vila,PT,2021-09-07 19:32:18,42.0304,-8.1588,60.33,87,59,4.94
208,Santa Isabel Do Rio Negro,BR,2021-09-07 19:32:18,-0.4139,-65.0192,79.59,93,100,4.45
